Model,Layers_1,Threshold_1,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers_2,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold_2,New
train_results/AdmntMessenger/16/182-127-72-16.pth,4,0.00100625,4516,4182,334,99.6,1.0,0.94610778,1.0,0.0,0.97230769,0.97059417,4,182-127-72-16-72-127-182,793,0.00039513,0.0003992,6.14,0.0003992,0.00034047,0.00100625,False
train_results/AdmntMessenger/16/182-141-100-59-16.pth,5,0.00094408,4516,4182,334,99.62,1.0,0.9491018,1.0,0.0,0.97388633,0.97224445,5,182-141-100-59-16-59-100-141-182,742,0.00036367,0.00036903,8.16,0.00036903,0.0003482,0.00094408,False
train_results/AdmntMessenger/16/182-149-116-83-50-16.pth,6,0.00155407,4516,4182,334,99.67,1.0,0.95508982,1.0,0.0,0.9770291,0.975539,6,182-149-116-83-50-16-50-83-116-149-182,698,0.00042321,0.00042263,8.78,0.00042263,0.00045511,0.00155407,False
train_results/AdmntMessenger/16/182-155-128-101-74-47-16.pth,7,0.00195192,4516,4182,334,99.76,1.0,0.96706587,1.0,0.0,0.98325723,0.9821043,7,182-155-128-101-74-47-16-47-74-101-128-155-182,646,0.00067518,0.00069626,9.77,0.00069626,0.00057777,0.00195192,False
train_results/AdmntMessenger/16/182-159-136-113-90-67-44-16.pth,8,0.00049792,4516,4182,334,99.65,1.0,0.95209581,1.0,0.0,0.97546012,0.97389273,8,182-159-136-113-90-67-44-16-44-67-90-113-136-159-182,1868,8.825e-05,9.087e-05,34.03,9.087e-05,0.00014034,0.00049792,False
train_results/AdmntMessenger/16/182-16.pth,2,0.00271987,4516,4182,334,99.6,1.0,0.94610778,1.0,0.0,0.97230769,0.97059417,2,182-16-182,257,0.00187045,0.00190787,0.59,0.00190787,0.00097235,0.00271987,False
train_results/AdmntMessenger/16/182-99-16.pth,3,0.00104421,4516,4182,334,99.62,1.0,0.9491018,1.0,0.0,0.97388633,0.97224445,3,182-99-16-99-182,894,0.00046024,0.00046351,4.82,0.00046351,0.00035048,0.00104421,False
