Model,Layers_1,Threshold_1,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers_2,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold_2,New
train_results/BiduTerBox/16/182-127-72-16.pth,4,0.00115045,4516,4164,352,98.07,0.82555283,0.95454545,0.98294909,0.01705091,0.88537549,0.8776678,4,182-127-72-16-72-127-182,955,0.00042236,0.00036822,6.67,0.00036822,0.0003539,0.00115045,False
train_results/BiduTerBox/16/182-141-100-59-16.pth,5,0.00120696,4516,4164,352,98.29,0.85347044,0.94318182,0.98631124,0.01368876,0.89608637,0.88813873,5,182-141-100-59-16-59-100-141-182,898,0.00043849,0.00038438,8.71,0.00038438,0.00039455,0.00120696,False
train_results/BiduTerBox/16/182-149-116-83-50-16.pth,6,0.00029811,4516,4164,352,98.58,0.875,0.95454545,0.98847262,0.01152738,0.91304348,0.90636044,6,182-149-116-83-50-16-50-83-116-149-182,1532,0.00012547,7.674e-05,24.17,7.674e-05,0.00011883,0.00029811,False
train_results/BiduTerBox/16/182-155-128-101-74-47-16.pth,7,0.0002499,4516,4164,352,98.21,0.84832905,0.9375,0.98583093,0.01416907,0.89068826,0.88225076,7,182-155-128-101-74-47-16-47-74-101-128-155-182,1649,0.00013065,7.674e-05,28.24,7.674e-05,0.00012444,0.0002499,False
train_results/BiduTerBox/16/182-159-136-113-90-67-44-16.pth,8,0.00020913,4516,4164,352,98.21,0.84130982,0.94886364,0.98487032,0.01512968,0.89185581,0.88401309,8,182-159-136-113-90-67-44-16-44-67-90-113-136-159-182,1970,9.444e-05,3.623e-05,41.68,3.623e-05,8.096e-05,0.00020913,False
train_results/BiduTerBox/16/182-16.pth,2,0.00584254,4516,4164,352,51.42,0.13365155,0.95454545,0.47694524,0.52305476,0.23447313,0.23285387,2,182-16-182,221,0.00364945,0.00347747,0.29,0.00347747,0.00136876,0.00584254,False
train_results/BiduTerBox/16/182-99-16.pth,3,0.00132422,4516,4164,352,97.94,0.81508516,0.95170455,0.98174832,0.01825168,0.87811271,0.87004475,3,182-99-16-99-182,1013,0.00055831,0.00049955,3.68,0.00049955,0.00043603,0.00132422,False
