Model,Layers_1,Threshold_1,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers_2,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold_2,New,Latent
train_results/prop/8/182-148-114-80-46-8.pth,6,0.0007189263124018,4516,3999,517,83.86,0.41122278,0.94970986,0.82420605,0.17579395,0.57393337,0.55874387,6,182-148-114-80-46-8-46-80-114-148-182,2000,0.00023764,0.00027745,29.23,0.00027745,0.00031429,0.0007189263124018,False,8
train_results/prop/10/182-148-114-80-46-10.pth,6,0.000750905892346,4516,3999,517,83.3,0.40246914,0.94584139,0.81845461,0.18154539,0.56466513,0.54874637,6,182-148-114-80-46-10-46-80-114-148-182,2000,0.00031751,0.0003657,31.25,0.0003657,0.00042229,0.000750905892346,False,10
train_results/prop/12/182-148-114-80-46-12.pth,6,0.0006785584264434,4516,3999,517,83.46,0.40511551,0.94970986,0.81970493,0.18029507,0.56795836,0.55285364,6,182-148-114-80-46-12-46-80-114-148-182,2000,0.00025442,0.00029759,31.54,0.00029759,0.00032847,0.0006785584264434,False,12
train_results/prop/14/182-149-116-83-50-14.pth,6,0.0007643859134986,4516,3999,517,83.17,0.40065413,0.94777563,0.81670418,0.18329582,0.56321839,0.54774434,6,182-149-116-83-50-14-50-83-116-149-182,2000,0.00025948,0.00030666,47.22,0.00030666,0.00035596,0.0007643859134986,False,14
train_results/prop/16/182-149-116-83-50-16.pth,6,0.0006521730683743,4516,3999,517,83.92,0.41211102,0.94777563,0.8252063,0.1747937,0.57444314,0.55882135,6,182-149-116-83-50-16-50-83-116-149-182,1912,0.00024902,0.00029333,32.04,0.00029333,0.00037221,0.00065217,False,16
train_results/prop/18/182-150-118-86-54-18.pth,6,0.0006978331366553,4516,3999,517,83.61,0.40746888,0.94970986,0.82145536,0.17854464,0.57026713,0.55513077,6,182-150-118-86-54-18-54-86-118-150-182,2000,0.00023757,0.00027501,31.78,0.00027501,0.00026244,0.0006978331366553,False,18
train_results/prop/20/182-150-118-86-54-20.pth,6,0.0005256203003227,4516,3999,517,83.44,0.40462428,0.94777563,0.81970493,0.18029507,0.56712963,0.55160799,6,182-150-118-86-54-20-54-86-118-150-182,1929,0.00017596,0.00020443,43.4,0.00020443,0.00020279,0.0005256203003227,False,20
