Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Models
15074,13300,1774,83.96,0.41827411,0.92897407,0.82766917,0.17233083,0.57682884,0.55490683,1
15074,13300,1774,83.96,0.41827411,0.92897407,0.82766917,0.17233083,0.57682884,0.55490683,2
15074,13300,1774,85.50,0.44343518,0.90811725,0.84796992,0.15203008,0.59589421,0.56965224,3
15074,13300,1774,85.50,0.44343518,0.90811725,0.84796992,0.15203008,0.59589421,0.56965224,4
15074,13300,1774,93.07,0.75997151,0.60146561,0.97466165,0.02533835,0.67149150,0.63878285,5
