Model,Layers_1,Threshold_1,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers_2,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold_2,New
train_results/AirDroid/prop/16/182-127-72-16.pth,4,0.0019830418750643,4516,3999,517,81.89,0.38251366,0.94777563,0.80220055,0.19779945,0.54505006,0.52973264,4,182-127-72-16-72-127-182,993,0.00098735,0.00107161,14.65,0.00107161,0.00061705,0.0019830418750643,False
train_results/AirDroid/prop/16/182-141-100-59-16.pth,5,0.0018904522294178,4516,3999,517,82.48,0.39092357,0.94970986,0.80870218,0.19129782,0.55386351,0.53891786,5,182-141-100-59-16-59-100-141-182,958,0.00099116,0.00108523,26.98,0.00108523,0.00062081,0.0018904522294178,False
train_results/AirDroid/prop/16/182-149-116-83-50-16.pth,6,0.000713235407602,4516,3999,517,83.15,0.4,0.94390716,0.81695424,0.18304576,0.56188831,0.54557317,6,182-149-116-83-50-16-50-83-116-149-182,2000,0.00026223,0.00030635,42.28,0.00030635,0.00031977,0.000713235407602,False
train_results/AirDroid/prop/16/182-155-128-101-74-47-16.pth,7,0.0006523865158669,4516,3999,517,83.35,0.40329218,0.94777563,0.81870468,0.18129532,0.56581986,0.55031465,7,182-155-128-101-74-47-16-47-74-101-128-155-182,2000,0.00018862,0.00021614,50.76,0.00021614,0.00023333,0.0006523865158669,False
train_results/AirDroid/prop/16/182-159-136-113-90-67-44-16.pth,8,0.0007000758778303,4516,3999,517,83.39,0.40395713,0.94777563,0.8192048,0.1807952,0.56647399,0.55096063,8,182-159-136-113-90-67-44-16-44-67-90-113-136-159-182,2000,0.0002153,0.00024505,52.43,0.00024505,0.00024662,0.0007000758778303,False
train_results/AirDroid/prop/16/182-16.pth,2,0.0055498350411653,4516,3999,517,41.72,0.15831987,0.94777563,0.34858715,0.65141285,0.27131783,0.20319699,2,182-16-182,221,0.00405922,0.00407868,0.45,0.00407868,0.00092155,0.0055498350411653,False
train_results/AirDroid/prop/16/182-99-16.pth,3,0.0028481455519795,4516,3999,517,78.94,0.34653465,0.94777563,0.76894224,0.23105776,0.50750906,0.49206628,3,182-99-16-99-182,961,0.00118192,0.00126904,6.24,0.00126904,0.00076988,0.0028481455519795,False
