Model,Layers_1,Threshold_1,Total,Foreign,Destination,Accuracy,Precision,Recall,Specificity,FPR,F1,MCC,Layers_2,Topology,Epochs,Train_Loss,Test_Loss,Train_Time,Mean_Error,Std_Error,Threshold_2,New,Latent
train_results/prop/8/182-139-96-53-8.pth,5,0.0042500160634517,4516,3999,517,71.28,0.27840909,0.94777563,0.68242061,0.31757939,0.43039087,0.41143462,5,182-139-96-53-8-53-96-139-182,734,0.00171899,0.00179234,8.57,0.00179234,0.00107258,0.0042500160634517,False,8
train_results/prop/10/182-139-96-53-10.pth,5,0.0037592058070003,4516,3999,517,77.02,0.32621748,0.94584139,0.74743686,0.25256314,0.48511905,0.4687487,5,182-139-96-53-10-53-96-139-182,780,0.00144265,0.0015372,10.47,0.0015372,0.00098181,0.0037592058070003,False,10
train_results/prop/12/182-140-98-56-12.pth,5,0.0029932223260402,4516,3999,517,81.27,0.37413925,0.94584139,0.79544886,0.20455114,0.53618421,0.52045911,5,182-140-98-56-12-56-98-140-182,961,0.00130344,0.00139857,12.78,0.00139857,0.00085028,0.0029932223260402,False,12
train_results/prop/14/182-140-98-56-14.pth,5,0.0029024558607488,4516,3999,517,80.07,0.3595011,0.94777563,0.78169542,0.21830458,0.5212766,0.50596342,5,182-140-98-56-14-56-98-140-182,808,0.00130637,0.00140621,11.61,0.00140621,0.00081711,0.0029024558607488,False,14
train_results/prop/16/182-141-100-59-16.pth,5,0.0022524129599332,4516,3999,517,81.67,0.37955074,0.94777563,0.79969992,0.20030008,0.5420354,0.52673234,5,182-141-100-59-16-59-100-141-182,1225,0.00102655,0.00112205,14.77,0.00112205,0.00065417,0.00225241,False,16
train_results/prop/18/182-141-100-59-18.pth,5,0.002139976946637,4516,3999,517,80.6,0.36594473,0.94777563,0.78769692,0.21230308,0.52801724,0.51272979,5,182-141-100-59-18-59-100-141-182,1123,0.00087673,0.00099457,13.72,0.00099457,0.00062956,0.002139976946637,False,18
train_results/prop/20/182-142-102-62-20.pth,5,0.0023079903330653,4516,3999,517,81.09,0.37205771,0.94777563,0.7931983,0.2068017,0.53435115,0.51906757,5,182-142-102-62-20-62-102-142-182,817,0.00096806,0.00106234,13.15,0.00106234,0.00062433,0.0023079903330653,False,20
